,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_ms,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,Release_date,album_type
0,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,"('Travis Scott',)","('0Y5tJX1MQlPlqiwlOH1tJY',)",98,175720,0.598,0.427,-8.764,0,0.0546,0.0605,76.469,2019-10-04,single
1,Circles,21jGcNKet2qwijlDFuPiPb,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",100,215280,0.695,0.762,-3.497,1,0.192,0.553,120.042,2019-09-06,album
2,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,"('Juice WRLD', 'YoungBoy Never Broke Again')","('4MCBfE4596Uoi2O4DtmEMz', '7wlFDEWiM5OoIAt8RSli8b')",94,189322,0.474,0.631,-5.884,0,0.0687,0.425,180.051,2019-10-04,single
3,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,"('Selena Gomez',)","('0C8ZW7ezQVs4URX5aX7Kqx',)",99,206458,0.505,0.34,-9.005,1,0.576,0.0916,101.993,2019-10-23,single
4,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,"('blackbear',)","('2cFrymmkijnjDg9SS92EPM',)",97,185093,0.778,0.559,-7.109,0,0.128,0.678,129.989,2019-08-23,single
5,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,"('YNW Melly', '9lokknine')","('1cNDP5yjU5vjeR8qMf4grg', '0ceH34CATvfgphxnLRWFkm')",91,176640,0.932,0.547,-7.787,0,0.0388,0.695,94.998,2019-08-09,single
6,Memories,2b8fOow8UzyDFAE27YhOZM,"('Maroon 5',)","('04gDigrS5kc9YWfZHwBETP',)",99,189486,0.764,0.32,-7.209,1,0.837,0.575,91.019,2019-09-20,single
7,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,"('Lewis Capaldi',)","('4GNC7GD6oZMSxPGyXy4MNB',)",96,182160,0.501,0.405,-5.679,1,0.751,0.446,109.891,2019-05-17,album
8,Camelot,4sWuPniHClkInYAnzXAYUF,"('NLE Choppa',)","('0ErzCpIMyLcjPiwT4elrtZ',)",90,148759,0.787,0.713,-5.252,1,0.0849,0.762,175.041,2019-09-13,single
9,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,"('Dan + Shay', 'Justin Bieber')","('7z5WFjZAIYejWy0NI5lv4T', '1uNFoZAHBGtllmzznpCI3s')",95,167693,0.654,0.63,-4.644,1,0.153,0.43,89.991,2019-10-04,single
10,Follow God,2QpGZOhTCHHiKmpSO9FW4h,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",93,104591,0.529,0.9,-3.503,1,0.000248,0.434,180.291,2019-10-25,album
11,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,"('Lizzo',)","('56oDRnqbIiwx4mymNEv7dS',)",91,173325,0.715,0.624,-3.046,0,0.11,0.412,158.087,2019-05-03,album
12,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,"('Billie Eilish',)","('6qqNVTkY8uBg9cP3Jd7DAH',)",95,245425,0.704,0.225,-14.454,0,0.902,0.243,120.006,2019-11-13,single
13,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,"('Drake', 'Rick Ross')","('3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a')",91,205426,0.831,0.502,-4.045,0,0.101,0.101,100.541,2019-06-15,single
14,Ransom,1lOe9qE0vR9zwWQAOk6CoO,"('Lil Tecca',)","('4Ga1P7PMIsmqEZqhYZQgDo',)",92,131240,0.745,0.642,-6.257,0,0.0204,0.226,179.974,2019-08-30,album
15,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",89,159714,0.769,0.787,-3.909,1,0.189,0.836,126.77,2019-09-27,album
16,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,"('Post Malone', 'Ozzy Osbourne', 'Travis Scott')","('246dkjvS1zLTtiykXe5h60', '6ZLTlhejhndI4Rh53vYhrY', '0Y5tJX1MQlPlqiwlOH1tJY')",92,229573,0.499,0.8,-2.665,0,0.0906,0.272,139.919,2019-09-06,album
17,VIBEZ,0fySG6A6qLE8IvDpayb5bM,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",88,144935,0.768,0.652,-2.708,0,0.113,0.777,154.187,2019-09-27,album
18,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,"('Post Malone', 'Young Thug')","('246dkjvS1zLTtiykXe5h60', '50co4Is1HCEo8bhOyUWKpn')",94,174853,0.548,0.653,-3.875,1,0.456,0.163,150.068,2019-09-06,album
19,bad guy,2Fxmhks0bxGSBdJ92vM42m,"('Billie Eilish',)","('6qqNVTkY8uBg9cP3Jd7DAH',)",96,194087,0.701,0.425,-10.965,1,0.328,0.562,135.128,2019-03-29,album
20,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,"('Young Thug', 'Gunna')","('50co4Is1HCEo8bhOyUWKpn', '2hlmm7s2ICUX0LVIhVFlZQ')",88,193026,0.855,0.651,-8.044,0,0.063,0.559,111.997,2019-08-16,album
21,Suge,2gwkD6igEhQbDQegRCcdoB,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",88,163320,0.876,0.662,-6.482,0,0.0608,0.844,75.445,2019-03-01,album
22,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,"('Mustard', 'Roddy Ricch')","('0YinUQ50QDB7ZxSCLyQ40k', '757aE44tKEUQEqRuT6GnEB')",87,180434,0.809,0.545,-6.678,1,0.392,0.244,97.008,2019-06-28,album
23,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,"('SHAED', 'ZAYN')","('3KwmxIhSe9UTSEF37kwngR', '5ZsFI1h6hIdQRw2ti0hz81')",94,184280,0.619,0.459,-5.782,0,0.56,0.498,126.803,2019-09-26,single
24,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,"('Dua Lipa',)","('6M2wZ9GZgrQXHCFfjv46we',)",96,183290,0.794,0.793,-4.521,0,0.0125,0.677,123.941,2019-10-31,single
25,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,"('Post Malone', 'DaBaby')","('246dkjvS1zLTtiykXe5h60', '4r63FhuTkUYltbVAg5TQnk')",89,196760,0.542,0.674,-4.169,1,0.0588,0.667,76.388,2019-09-06,album
26,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,"('Sam Smith',)","('2wY79sveU1sp5g7SokKOiI',)",95,202204,0.477,0.682,-4.931,0,0.153,0.345,110.567,2019-07-19,single
27,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,"('Tones and I',)","('2NjfBq1NflQcKSeiDooVjY',)",97,209438,0.824,0.588,-6.4,0,0.692,0.513,98.027,2019-10-17,single
28,Make No Sense,6klLvorLoo1sxvZcjJIY8I,"('YoungBoy Never Broke Again',)","('7wlFDEWiM5OoIAt8RSli8b',)",86,148629,0.876,0.733,-4.478,0,0.0208,0.962,154.904,2019-10-11,album
29,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,"('Young Thug', 'Travis Scott', 'Gunna')","('50co4Is1HCEo8bhOyUWKpn', '0Y5tJX1MQlPlqiwlOH1tJY', '2hlmm7s2ICUX0LVIhVFlZQ')",89,279906,0.848,0.713,-5.636,0,0.158,0.509,111.984,2019-11-01,single
30,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,"('Chris Brown', 'Drake')","('7bXgB6jMjp9ATFy66eO08Z', '3TVXtAsR1Inumwj472S9r4')",88,260640,0.698,0.454,-6.756,0,0.123,0.137,92.932,2019-06-28,album
31,Graveyard,6V9fHiv84WlVTg7CSnIVY2,"('Halsey',)","('26VFTg2z8YR0cCuwLzESi2',)",92,181805,0.667,0.583,-5.127,0,0.231,0.187,92.043,2019-09-13,single
32,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,"('Selena Gomez',)","('0C8ZW7ezQVs4URX5aX7Kqx',)",93,162595,0.563,0.564,-7.906,0,0.114,0.55,154.355,2019-10-24,single
33,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",90,150866,0.617,0.684,-3.618,1,0.0545,0.295,132.113,2019-09-06,album
34,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,"('Chance the Rapper', 'MadeinTYO', 'DaBaby')","('1anyVhU62p31KFi8MEzkbf', '5SyGEPymt1G2uto47tVWvZ', '4r63FhuTkUYltbVAg5TQnk')",86,225923,0.897,0.522,-7.578,1,0.0016,0.623,149.986,2019-07-26,album
35,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,"('Young Thug', 'Lil Baby')","('50co4Is1HCEo8bhOyUWKpn', '5f7VJjfbwm532GiveGC0ZK')",86,149040,0.974,0.596,-8.888,1,0.0976,0.892,111.959,2019-08-16,album
