,Song,Song_ID,Artists,Artists_Id,Popularity,Lengthofsing_ms,danceability,energy,loudness,Modemajor1_happier,acousticness,valence,tempo,Release_date,Album_type,source,Fear,Trust,Joy,Disgust,Anticipation,Sadness,Suprise,Anger,Negative,Positive
2021,Just Want You,3iE3rUHa6WTyFhQjVUKg7H,YNW Bslime,2KCRLxlHd2OgZG6YAOAcSu,62,219480,0.8290000000000001,0.508,-5.0280000000000005,0,0.0636,0.6990000000000001,104.931,2019-09-18,single,genius.com,0.024221453287197235,0.020761245674740487,0.027681660899653984,0.024221453287197235,0.01730103806228374,0.03806228373702422,0.01384083044982699,0.031141868512110732,0.04498269896193771,0.0519031141868512
2022,Soldier Life,3V3ZMBpW4I3hBhd8xd6pVN,Rod Wave,45TgXXqMDdF8BkjA83OM7z,60,158197,0.6559999999999999,0.716,-4.958,0,0.4270000000000001,0.35700000000000004,80.041,2019-11-01,album,genius.com,0.0,0.010582010582010581,0.042328042328042326,0.0,0.010582010582010581,0.010582010582010581,0.0,0.0,0.010582010582010581,0.05291005291005291
2023,Wave ,4owZgn8PCpafrhBzJD7wNj,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,44,193920,0.5870000000000001,0.8009999999999999,-4.309,1,0.0479,0.212,125.02600000000001,2019-11-22,single,genius.com,0.0,0.03703703703703703,0.051851851851851836,0.0,0.007407407407407408,0.029629629629629624,0.029629629629629624,0.0,0.04444444444444443,0.06666666666666665
2024,Litanie contre la Peur,4qE9yOgBNsARadpZTAb6RH,TOOL,2yEwvVSSSUkcLeSTNyHKh8,66,134490,0.151,0.0137,-22.811999999999998,0,0.9790000000000001,0.0371,136.297,2019-08-30,album,genius.com,0.005136986301369863,0.011986301369863013,0.010273972602739725,0.032534246575342464,0.02226027397260274,0.008561643835616438,0.0017123287671232876,0.05136986301369863,0.06164383561643835,0.02054794520547945
2025,"Goldberg Variations, BWV 988: Aria",71jtgIkLTmW6tpH4XwOx7N,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,0,184466,0.379,0.0349,-26.66800000000001,1,0.995,0.177,103.493,2019-11-22,album,songlyrics.com,0.01900237529691212,0.004750593824228029,0.014251781472684088,0.016627078384798103,0.007125890736342043,0.01900237529691212,0.009501187648456057,0.01900237529691212,0.033254156769596206,0.04038004750593825
2026,Love Me More,5unIDg3JDmQm7S9a9YGzqW,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,64,143712,0.42200000000000004,0.5579999999999999,-5.874,1,0.193,0.22899999999999998,83.48899999999998,2019-11-01,single,genius.com,0.048913043478260865,0.016304347826086956,0.048913043478260865,0.02717391304347826,0.06521739130434781,0.048913043478260865,0.03260869565217391,0.03260869565217391,0.05434782608695651,0.07065217391304346
2027,Hit Yo Dance,5x5sLaZGX6BeecyfCYF5Qm,Rubi Rose,1DGAqC29aw0FpJCejAehVk,62,165778,0.919,0.7759999999999999,-4.84,1,0.00884,0.652,92.979,2019-10-11,single,genius.com,0.004662004662004662,0.006993006993006993,0.006993006993006993,0.004662004662004662,0.006993006993006993,0.004662004662004662,0.006993006993006993,0.004662004662004662,0.004662004662004662,0.009324009324009324
2028,John Redcorn,5ibTi2YwtvbB1bTOv2I93d,SiR,3QTDHixorJelOLxoxcjqGx,63,187893,0.7340000000000001,0.4370000000000001,-6.124,0,0.223,0.636,143.961,2019-08-30,album,genius.com,0.007194244604316547,0.014388489208633094,0.0035971223021582736,0.0035971223021582736,0.0035971223021582736,0.021582733812949638,0.03237410071942445,0.017985611510791366,0.03237410071942445,0.017985611510791366
2029,King Of Kings,5E2v6b4Mo4jxuPrcK4YEIF,Hillsong Worship,3SgHzT552wy2W8pNLaLk24,60,265133,0.489,0.47700000000000004,-7.343,1,0.122,0.177,136.045,2019-10-11,album,genius.com,0.046511627906976744,0.031007751937984496,0.03875968992248062,0.027131782945736434,0.007751937984496124,0.03488372093023256,0.007751937984496124,0.04263565891472868,0.05813953488372093,0.04263565891472868
2030,74,5KtuQpmQkNQTWsBF8QuCQb,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,63,102002,0.495,0.748,-7.343,0,0.17600000000000002,0.6729999999999999,147.93,2019-11-01,album,genius.com,0.04318488529014843,0.018893387314439947,0.014844804318488532,0.03913630229419702,0.014844804318488532,0.009446693657219974,0.02294197031039136,0.06882591093117406,0.053981106612685535,0.0242914979757085
