,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_sec,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,album_type
0,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,"('Travis Scott',)","('0Y5tJX1MQlPlqiwlOH1tJY',)",98,175.72,0.598,0.427,-8.764,0,0.0546,0.0605,76.469,single
1,Circles,21jGcNKet2qwijlDFuPiPb,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",100,215.28,0.695,0.762,-3.497,1,0.192,0.553,120.042,album
2,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,"('Juice WRLD', 'YoungBoy Never Broke Again')","('4MCBfE4596Uoi2O4DtmEMz', '7wlFDEWiM5OoIAt8RSli8b')",94,189.322,0.474,0.631,-5.884,0,0.0687,0.425,180.051,single
3,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,"('Selena Gomez',)","('0C8ZW7ezQVs4URX5aX7Kqx',)",99,206.458,0.505,0.34,-9.005,1,0.576,0.0916,101.993,single
4,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,"('blackbear',)","('2cFrymmkijnjDg9SS92EPM',)",97,185.093,0.778,0.559,-7.109,0,0.128,0.678,129.989,single
5,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,"('YNW Melly', '9lokknine')","('1cNDP5yjU5vjeR8qMf4grg', '0ceH34CATvfgphxnLRWFkm')",92,176.64,0.932,0.547,-7.787,0,0.0388,0.695,94.998,single
6,Memories,2b8fOow8UzyDFAE27YhOZM,"('Maroon 5',)","('04gDigrS5kc9YWfZHwBETP',)",99,189.486,0.764,0.32,-7.209,1,0.837,0.575,91.019,single
7,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,"('Lewis Capaldi',)","('4GNC7GD6oZMSxPGyXy4MNB',)",96,182.16,0.501,0.405,-5.679,1,0.751,0.446,109.891,album
8,Camelot,4sWuPniHClkInYAnzXAYUF,"('NLE Choppa',)","('0ErzCpIMyLcjPiwT4elrtZ',)",90,148.759,0.787,0.713,-5.252,1,0.0849,0.762,175.041,single
9,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,"('Dan + Shay', 'Justin Bieber')","('7z5WFjZAIYejWy0NI5lv4T', '1uNFoZAHBGtllmzznpCI3s')",95,167.693,0.654,0.63,-4.644,1,0.153,0.43,89.991,single
10,Follow God,2QpGZOhTCHHiKmpSO9FW4h,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",93,104.591,0.529,0.9,-3.503,1,0.000248,0.434,180.291,album
11,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,"('Lizzo',)","('56oDRnqbIiwx4mymNEv7dS',)",91,173.325,0.715,0.624,-3.046,0,0.11,0.412,158.087,album
12,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,"('Drake', 'Rick Ross')","('3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a')",91,205.426,0.831,0.502,-4.045,0,0.101,0.101,100.541,single
13,Ransom,1lOe9qE0vR9zwWQAOk6CoO,"('Lil Tecca',)","('4Ga1P7PMIsmqEZqhYZQgDo',)",92,131.24,0.745,0.642,-6.257,0,0.0204,0.226,179.974,album
14,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,"('Post Malone', 'Ozzy Osbourne', 'Travis Scott')","('246dkjvS1zLTtiykXe5h60', '6ZLTlhejhndI4Rh53vYhrY', '0Y5tJX1MQlPlqiwlOH1tJY')",92,229.573,0.499,0.8,-2.665,0,0.0906,0.272,139.919,album
15,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",89,159.714,0.769,0.787,-3.909,1,0.189,0.836,126.77,album
16,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,"('Billie Eilish',)","('6qqNVTkY8uBg9cP3Jd7DAH',)",94,245.425,0.704,0.225,-14.454,0,0.902,0.243,120.006,single
17,VIBEZ,0fySG6A6qLE8IvDpayb5bM,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",88,144.935,0.768,0.652,-2.708,0,0.113,0.777,154.187,album
18,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,"('Post Malone', 'Young Thug')","('246dkjvS1zLTtiykXe5h60', '50co4Is1HCEo8bhOyUWKpn')",94,174.853,0.548,0.653,-3.875,1,0.456,0.163,150.068,album
19,bad guy,2Fxmhks0bxGSBdJ92vM42m,"('Billie Eilish',)","('6qqNVTkY8uBg9cP3Jd7DAH',)",96,194.087,0.701,0.425,-10.965,1,0.328,0.562,135.128,album
20,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,"('Young Thug', 'Gunna')","('50co4Is1HCEo8bhOyUWKpn', '2hlmm7s2ICUX0LVIhVFlZQ')",88,193.026,0.855,0.651,-8.044,0,0.063,0.559,111.997,album
21,Suge,2gwkD6igEhQbDQegRCcdoB,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",88,163.32,0.876,0.662,-6.482,0,0.0608,0.844,75.445,album
22,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,"('Mustard', 'Roddy Ricch')","('0YinUQ50QDB7ZxSCLyQ40k', '757aE44tKEUQEqRuT6GnEB')",87,180.434,0.809,0.545,-6.678,1,0.392,0.244,97.008,album
23,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,"('SHAED', 'ZAYN')","('3KwmxIhSe9UTSEF37kwngR', '5ZsFI1h6hIdQRw2ti0hz81')",93,184.28,0.619,0.459,-5.782,0,0.56,0.498,126.803,single
24,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,"('Post Malone', 'DaBaby')","('246dkjvS1zLTtiykXe5h60', '4r63FhuTkUYltbVAg5TQnk')",89,196.76,0.542,0.674,-4.169,1,0.0588,0.667,76.388,album
25,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,"('Sam Smith',)","('2wY79sveU1sp5g7SokKOiI',)",95,202.204,0.477,0.682,-4.931,0,0.153,0.345,110.567,single
26,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,"('Dua Lipa',)","('6M2wZ9GZgrQXHCFfjv46we',)",95,183.29,0.794,0.793,-4.521,0,0.0125,0.677,123.941,single
27,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,"('Tones and I',)","('2NjfBq1NflQcKSeiDooVjY',)",97,209.438,0.824,0.588,-6.4,0,0.692,0.513,98.027,single
28,Make No Sense,6klLvorLoo1sxvZcjJIY8I,"('YoungBoy Never Broke Again',)","('7wlFDEWiM5OoIAt8RSli8b',)",86,148.629,0.876,0.733,-4.478,0,0.0208,0.962,154.904,album
29,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,"('Chris Brown', 'Drake')","('7bXgB6jMjp9ATFy66eO08Z', '3TVXtAsR1Inumwj472S9r4')",88,260.64,0.698,0.454,-6.756,0,0.123,0.137,92.932,album
30,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,"('Young Thug', 'Travis Scott', 'Gunna')","('50co4Is1HCEo8bhOyUWKpn', '0Y5tJX1MQlPlqiwlOH1tJY', '2hlmm7s2ICUX0LVIhVFlZQ')",89,279.906,0.848,0.713,-5.636,0,0.158,0.509,111.984,single
31,Graveyard,6V9fHiv84WlVTg7CSnIVY2,"('Halsey',)","('26VFTg2z8YR0cCuwLzESi2',)",92,181.805,0.667,0.583,-5.127,0,0.231,0.187,92.043,single
32,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",90,150.866,0.617,0.684,-3.618,1,0.0545,0.295,132.113,album
33,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,"('Selena Gomez',)","('0C8ZW7ezQVs4URX5aX7Kqx',)",93,162.595,0.563,0.564,-7.906,0,0.114,0.55,154.355,single
34,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,"('Chance the Rapper', 'MadeinTYO', 'DaBaby')","('1anyVhU62p31KFi8MEzkbf', '5SyGEPymt1G2uto47tVWvZ', '4r63FhuTkUYltbVAg5TQnk')",86,225.923,0.897,0.522,-7.578,1,0.0016,0.623,149.986,album
35,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,"('Young Thug', 'Lil Baby')","('50co4Is1HCEo8bhOyUWKpn', '5f7VJjfbwm532GiveGC0ZK')",86,149.04,0.974,0.596,-8.888,1,0.0976,0.892,111.959,album
36,Señorita,0TK2YIli7K1leLovkQiNik,"('Shawn Mendes', 'Camila Cabello')","('7n2wHs1TKAczGzO7Dd2rGr', '4nDoRrQiYLoBzwC5BhVJzF')",97,190.96,0.759,0.54,-6.039,0,0.037,0.75,116.947,single
37,VALENTINO,0c7K73roy6RW4ebDkf4yGh,"('24kGoldn',)","('6fWVd57NKTalqvmjRd2t8Z',)",88,179.133,0.745,0.718,-4.853,0,0.197,0.539,151.097,single
38,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,"('Polo G', 'Lil Tjay')","('6AgTAQt8XS6jRWi4sX7w49', '6jGMq4yGs7aQzuGsMgVgZR')",87,166.56,0.772,0.639,-7.119,1,0.15,0.261,168.112,album
39,Lalala,51Fjme0JiitpyXKuyQiCDo,"('Y2K', 'bbno$')","('6USMTwO0MNDnKte5a5h0xx', '41X1TR6hrK8Q2ZCpp2EqCz')",95,160.626,0.843,0.391,-7.899,1,0.181,0.496,129.972,single
40,Panini,6fTt0CH2t0mdeB2N9XFG5r,"('Lil Nas X',)","('7jVv8c5Fj3E9VhNjxT4snq',)",89,114.893,0.703,0.594,-6.146,0,0.342,0.475,153.848,single
41,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,"('J. Cole',)","('6l3HvQ5sa6mXTsMTB19rO5',)",87,213.593,0.837,0.364,-11.713,1,0.149,0.463,123.984,single
42,F.N,0RLLvYBopDwooCyvnTwgYu,"('Lil Tjay',)","('6jGMq4yGs7aQzuGsMgVgZR',)",84,224.0,0.567,0.515,-10.265,0,0.354,0.321,120.1,album
43,Liar,7LzouaWGFCy4tkXDOOnEyM,"('Camila Cabello',)","('4nDoRrQiYLoBzwC5BhVJzF',)",94,207.038,0.74,0.498,-6.684,0,0.0169,0.652,98.016,single
44,Did It Again,4guBZjUyrGoHsTahO3IHdj,"('Lil Tecca',)","('4Ga1P7PMIsmqEZqhYZQgDo',)",86,116.24,0.686,0.561,-9.929,0,0.185,0.186,148.775,album
45,Wow.,7xQAfvXzm3AkraOtGPWIZg,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",89,149.546,0.829,0.539,-7.359,0,0.136,0.388,99.96,album
46,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,"('Ed Sheeran', 'Khalid')","('6eUKZXaKkcviH0Ku9w2n3V', '6LuN9FCkKOj5PcnpouEgny')",93,197.866,0.64,0.648,-8.113,0,0.124,0.548,92.977,single
47,Good as Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,"('Lizzo', 'Ariana Grande')","('56oDRnqbIiwx4mymNEv7dS', '66CXWjxzNUsdJxJ2JdwvnR')",91,159.011,0.668,0.892,-3.001,0,0.298,0.478,95.927,single
48,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,"('Ellie Goulding', 'Juice WRLD')","('0X2BH1fck6amBIoJhDVmmJ', '4MCBfE4596Uoi2O4DtmEMz')",89,186.223,0.657,0.768,-4.628,1,0.108,0.759,75.025,single
49,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",89,156.266,0.405,0.646,-3.206,0,0.331,0.17,130.218,album
50,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,"('Zedd', 'Kehlani')","('2qxJFvFYMEDqd7ui6kSAcq', '0cGUm45nv7Z6M6qdXYQGTX')",89,210.901,0.693,0.564,-3.857,0,0.399,0.574,185.913,single
51,Immortal,4IO8X9W69dIQe0EC5ALXhq,"('21 Savage',)","('1URnnhqYAYcrqrcwql10ft',)",85,254.723,0.741,0.87,-3.494,0,0.00813,0.663,184.194,single
52,Baby,2nKYHpmwjLaEOXS3o7QMiz,"('Quality Control', 'Lil Baby', 'DaBaby')","('6i392l38cR3uBPF0DbNs7S', '5f7VJjfbwm532GiveGC0ZK', '4r63FhuTkUYltbVAg5TQnk')",84,142.417,0.97,0.463,-7.259,1,0.0957,0.46,108.003,single
53,when the party's over,43zdsphuZLzwA9k4DJhU0I,"('Billie Eilish',)","('6qqNVTkY8uBg9cP3Jd7DAH',)",90,196.077,0.367,0.111,-14.084,1,0.978,0.198,82.642,album
54,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,"('Lil Nas X', 'DaBaby')","('7jVv8c5Fj3E9VhNjxT4snq', '4r63FhuTkUYltbVAg5TQnk')",85,151.04,0.717,0.598,-5.613,0,0.22,0.496,153.905,single
55,Somebody,735RSTb2xbtWbDtKD9XDYi,"('Internet Money', 'Lil Tecca', 'A Boogie Wit da Hoodie')","('6MPCFvOQv5cIGfw3jODMF0', '4Ga1P7PMIsmqEZqhYZQgDo', '31W5EY0aAly4Qieq6OFu6I')",85,174.333,0.63,0.671,-6.659,0,0.363,0.333,89.921,single
56,Stuck In A Dream (feat. Gunna),7iHHxY2NLlJRAmlAmC4ahQ,"('Lil Mosey', 'Gunna')","('5zctI4wO9XSKS8XwcnqEHk', '2hlmm7s2ICUX0LVIhVFlZQ')",86,123.56,0.748,0.648,-6.445,0,0.481,0.726,139.952,album
57,Lover,1dGr1c8CrMLDpV6mPbImSI,"('Taylor Swift',)","('06HL4z0CvFAxyc27GXpf02',)",89,221.306,0.359,0.543,-7.582,1,0.492,0.453,68.534,album
58,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,"('Diplo', 'Morgan Wallen')","('5fMUXHkw8R8eOP2RNVYEZX', '4oUHIQIBe0LHzYfvXNW4QM')",85,169.226,0.764,0.555,-6.414,1,0.275,0.255,111.004,single
59,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,"('Tyler, The Creator',)","('4V8LLVI7PbaPR0K2TGSxFF',)",85,190.066,0.554,0.498,-8.866,1,0.23,0.413,79.635,album
60,Motivation,0rIAC4PXANcKmitJfoqmVm,"('Normani',)","('2cWZOOzeOm4WmBJRnD5R7I',)",89,193.837,0.599,0.887,-3.967,1,0.0192,0.881,170.918,single
61,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",86,151.873,0.799,0.291,-7.353,0,0.873,0.406,97.984,album
62,ROXANNE,696DnlkuDOXcMAnKlTgXXK,"('Arizona Zervas',)","('0vRvGUQVUjytro0xpb26bs',)",88,163.636,0.621,0.601,-5.616,0,0.0522,0.457,116.735,single
63,On God,2SasoXZyv82yYgHiVOvxQn,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",86,136.35,0.41,0.886,-4.413,0,0.0671,0.393,72.577,album
64,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,"('Lil Uzi Vert',)","('4O15NlyKLIASxsJ0PrXPfz',)",84,243.976,0.729,0.603,-6.736,0,0.0948,0.207,134.972,single
65,Robbery,6Hj9jySrnFppAI0sEMCZpJ,"('Juice WRLD',)","('4MCBfE4596Uoi2O4DtmEMz',)",85,240.05,0.685,0.692,-5.122,1,0.328,0.578,159.966,album
66,Woah,598yNsG1JFrGd4n2kMoz7F,"('Lil Baby',)","('5f7VJjfbwm532GiveGC0ZK',)",84,183.011,0.882,0.602,-5.554,1,0.0177,0.43,142.959,single
67,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,"('Post Malone', 'Meek Mill', 'Lil Baby')","('246dkjvS1zLTtiykXe5h60', '20sxb77xiYeusSH8cVdatc', '5f7VJjfbwm532GiveGC0ZK')",86,218.32,0.442,0.737,-5.046,1,0.0589,0.21,112.93,album
68,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,"('Bazzi',)","('4GvEc3ANtPPjt1ZJllr5Zl',)",89,165.714,0.812,0.519,-4.823,1,0.379,0.554,104.954,album
69,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,"('Ed Sheeran', 'Camila Cabello', 'Cardi B')","('6eUKZXaKkcviH0Ku9w2n3V', '4nDoRrQiYLoBzwC5BhVJzF', '4kYSro6naA4h99UJvo89HB')",93,204.466,0.857,0.621,-6.376,0,0.148,0.668,97.986,album
70,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,"('NLE Choppa', 'Blueface')","('0ErzCpIMyLcjPiwT4elrtZ', '3Fl1V19tmjt57oBdxXKAjJ')",84,176.631,0.894,0.511,-4.768,1,0.0251,0.568,120.08,single
71,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,"('Young Thug', 'J. Cole', 'Travis Scott')","('50co4Is1HCEo8bhOyUWKpn', '6l3HvQ5sa6mXTsMTB19rO5', '0Y5tJX1MQlPlqiwlOH1tJY')",86,200.106,0.796,0.586,-6.946,0,0.0247,0.179,97.981,single
72,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,"('Post Malone', 'Halsey', 'Future')","('246dkjvS1zLTtiykXe5h60', '26VFTg2z8YR0cCuwLzESi2', '75Pf8IiXv0bh6rMdN4Sj4t')",86,245.266,0.614,0.66,-2.848,1,0.19,0.452,145.01,album
73,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,"('Ariana Grande', 'Social House')","('66CXWjxzNUsdJxJ2JdwvnR', '5UjifI1TYefXWn9GdqDOHl')",89,186.106,0.4,0.795,-3.731,0,0.119,0.702,190.097,single
74,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,"('Marshmello', 'Kane Brown')","('64KEffDW9EtZ1y2vBYgq8T', '3oSJ7TBVCWMDMiYjXNiCKE')",88,181.823,0.659,0.623,-2.253,1,0.0667,0.439,88.042,single
75,Callaita,2TH65lNHgvLxCKXM3apjxI,"('Bad Bunny', 'Tainy')","('4q3ewBCX7sLwd24euuV69X', '0GM7qgcRCORpGnfcN2tCiB')",93,250.533,0.61,0.624,-4.773,1,0.6,0.244,176.169,single
76,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,"('Niall Horan',)","('1Hsdzj7Dlq2I7tHP7501T4',)",90,158.805,0.591,0.841,-4.351,0,0.0119,0.392,109.034,single
77,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,"('Taylor Swift',)","('06HL4z0CvFAxyc27GXpf02',)",88,171.36,0.771,0.671,-5.617,1,0.00929,0.714,85.026,album
78,Start Wit Me (feat. Gunna),5ravc2aiNoYmu9m37diYXW,"('Roddy Ricch', 'Gunna')","('757aE44tKEUQEqRuT6GnEB', '2hlmm7s2ICUX0LVIhVFlZQ')",83,146.6,0.919,0.556,-6.049,0,0.0933,0.539,130.025,single
79,Selah,39JRmdKFka1Oe09FoOCPI4,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",85,164.619,0.482,0.618,-5.673,0,0.647,0.146,90.076,album
80,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,"('Lil Tecca', 'Juice WRLD')","('4Ga1P7PMIsmqEZqhYZQgDo', '4MCBfE4596Uoi2O4DtmEMz')",84,171.253,0.684,0.671,-6.424,0,0.0119,0.45,179.987,album
81,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,"('Mustard', 'NAV', 'Playboi Carti', 'A Boogie Wit da Hoodie')","('0YinUQ50QDB7ZxSCLyQ40k', '7rkW85dBwwrJtlHRDkJDAC', '699OTQXzgjhIYAHMy9RyPD', '31W5EY0aAly4Qieq6OFu6I')",84,174.1,0.883,0.525,-8.054,0,0.189,0.312,99.978,album
82,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,"('Post Malone', 'Swae Lee')","('246dkjvS1zLTtiykXe5h60', '1zNqQNIdeOUZHb8zbZRFMX')",88,157.56,0.755,0.522,-4.368,1,0.533,0.925,89.96,album
83,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,"('Megan Thee Stallion', 'Ty Dolla $ign', 'Nicki Minaj')","('181bsRPaVXVlUKXrxwZfHK', '7c0XG5cIJTrrAgEC3ULPiq', '0hCNtLu0JehylgoiP8L4Gh')",84,199.427,0.872,0.814,-4.568,1,0.00485,0.57,98.985,single
84,Everything We Need,24bnCCysWnbNRNUT4LpHcP,"('Kanye West', 'Ty Dolla $ign', 'Ant Clemons')","('5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq', '028lPW2NdWHdSPCkRkcyhd')",85,116.559,0.894,0.416,-6.823,0,0.312,0.463,116.96,album
85,Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,"('Taylor Swift', 'Shawn Mendes')","('06HL4z0CvFAxyc27GXpf02', '7n2wHs1TKAczGzO7Dd2rGr')",86,221.306,0.448,0.603,-7.176,1,0.433,0.422,205.272,single
86,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,"('J Balvin', 'Bad Bunny')","('1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X')",93,242.573,0.754,0.646,-5.795,1,0.152,0.429,176.089,album
87,Ride It,2tnVG71enUj33Ic2nFN6kZ,"('Regard',)","('4ofCBoyEiGSePFAG500xev',)",95,157.605,0.893,0.748,-4.299,0,0.272,0.867,117.958,single
88,Self Control,4vSoyDfL0uZyUoWu5NNNsQ,"('YoungBoy Never Broke Again',)","('7wlFDEWiM5OoIAt8RSli8b',)",82,185.865,0.82,0.697,-7.296,0,0.0349,0.629,154.992,album
89,7 rings,6ocbgoVGwYJhOv1GgI9NsF,"('Ariana Grande',)","('66CXWjxzNUsdJxJ2JdwvnR',)",90,178.626,0.778,0.317,-10.732,0,0.592,0.327,140.048,album
90,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,"('Lil Nas X', 'Billy Ray Cyrus')","('7jVv8c5Fj3E9VhNjxT4snq', '60rpJ9SgigSd16DOAG7GSa')",92,157.066,0.878,0.619,-5.56,1,0.0533,0.639,136.041,single
91,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,"('Kanye West', 'Clipse', 'Kenny G')","('5K4W6rqBFWDnAN6FQUkS6x', '2J257euzcjnDLipsyJH3F2', '6I3M904Y9IwgDjrQ9pANiB')",85,213.877,0.611,0.459,-3.926,0,0.614,0.177,148.28,album
92,Love Me,4e0FYxSROat25pH16zMTZI,"('Lil Tecca',)","('4Ga1P7PMIsmqEZqhYZQgDo',)",86,117.013,0.719,0.538,-6.897,0,0.632,0.803,204.132,album
93,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,"('Megan Thee Stallion', 'DaBaby')","('181bsRPaVXVlUKXrxwZfHK', '4r63FhuTkUYltbVAg5TQnk')",82,192.539,0.921,0.635,-4.904,1,0.0218,0.549,130.028,album
94,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,"('Mustard', 'Migos')","('0YinUQ50QDB7ZxSCLyQ40k', '6oMuImdp5ZcFhWP0ESe6mG')",85,192.47,0.682,0.559,-5.545,1,0.174,0.137,202.015,album
95,My Type,5KBARWIxeMGkvUax9VtVC9,"('Saweetie',)","('6cK3NBO6uP7hh0oyuVELFl',)",83,126.446,0.899,0.811,-6.294,1,0.000677,0.587,105.038,album
96,INTRO,77KMttn3Lic7ZQKDlPqp8v,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",82,172.8,0.862,0.685,-7.699,0,0.0342,0.672,100.024,album
97,Up All Night,1mpD5Q8IM32I4bF6eCpU74,"('Khalid',)","('6LuN9FCkKOj5PcnpouEgny',)",83,157.22,0.665,0.712,-7.536,1,0.00103,0.669,93.989,single
98,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,"('Summer Walker', 'Bryson Tiller')","('57LYzLEk2LcFghVwuWbcuS', '2EMAnMvWE2eb56ToJVfCWs')",84,143.226,0.726,0.408,-6.606,0,0.603,0.459,115.918,album
99,Trigger,0Z26mbSHJ1dkUu7g9DDgif,"('Major Lazer', 'Khalid', 'Death Stranding: Timefall', 'Diplo')","('738wLrAtLtCtFOLvQBXOXp', '6LuN9FCkKOj5PcnpouEgny', '4rojTfP5nRkmYpdSbWQgV4', '5fMUXHkw8R8eOP2RNVYEZX')",88,171.986,0.57,0.585,-7.041,1,0.128,0.378,97.285,single
100,China,2ksOAxtIxY8yElEWw8RhgK,"('Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna')","('2R21vXR83lH98kGeO99Y66', '4VMYDCV2IEDYJArk749S6m', '790FomKkXshlbRYZFtlgla', '1vyhD5VmyZ7KMfW5gqLgo5', '1i8SpTcr7yvPOmcqrbnVXY')",96,301.714,0.786,0.808,-3.702,1,0.0846,0.609,105.027,single
101,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,"('Ariana Grande',)","('66CXWjxzNUsdJxJ2JdwvnR',)",88,207.32,0.717,0.653,-5.634,1,0.229,0.412,106.966,album
102,Bruises,4Of7rzpRpV1mWRbhp5rAqG,"('Lewis Capaldi',)","('4GNC7GD6oZMSxPGyXy4MNB',)",89,220.492,0.736,0.308,-7.83,1,0.946,0.361,111.202,album
103,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,"('Khalid', 'Disclosure')","('6LuN9FCkKOj5PcnpouEgny', '6nS5roXSAGhTGr34W6n7Et')",84,197.573,0.901,0.4,-8.575,1,0.051,0.346,135.984,album
104,Juicy,7qvsl2pYzrsYgPeFBN5jxp,"('Doja Cat', 'Tyga')","('5cj0lLjcoR7YOSnhnX0Po5', '5LHRHt1k9lMyONurDHEdrp')",83,202.333,0.786,0.658,-2.61,1,0.0856,0.458,170.037,single
105,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,"('DaBaby', 'Lil Baby', 'Moneybagg Yo')","('4r63FhuTkUYltbVAg5TQnk', '5f7VJjfbwm532GiveGC0ZK', '3tJoFztHeIJkJWMrx0td2f')",81,136.366,0.816,0.582,-4.141,1,0.0794,0.542,160.004,album
106,Reply (feat. Lil Uzi Vert),364spZLB5bhNlnPrzvUB41,"('A Boogie Wit da Hoodie', 'Lil Uzi Vert')","('31W5EY0aAly4Qieq6OFu6I', '4O15NlyKLIASxsJ0PrXPfz')",80,183.588,0.512,0.623,-6.553,0,0.0187,0.219,112.15,single
107,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,"('Gunna',)","('2hlmm7s2ICUX0LVIhVFlZQ',)",81,181.948,0.848,0.649,-6.083,1,0.232,0.629,118.04,album
108,God Is,6xRWoYwfwIKnT8bQGzKbxR,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",83,203.141,0.649,0.634,-4.394,1,0.17,0.221,105.051,album
