,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_sec,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,album_type
4772,"Matthäus-Passion, BWV 244, Pt. 2: No. 33, Und wiewohl viel falsche Zeugen herzutraten, funden sie doch keins",5UFAJDux4oNFmwoBpIMlLL,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",10,75.36,0.503,0.165,-19.542,0,0.914,0.244,104.625,album
4773,"Matthäus-Passion, BWV 244, Pt. 2: No. 34, Mein Jesus schweigt zu falschen Lügen stille",5YnQmC9eHoOFldNCBdKyFa,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",10,60.133,0.383,0.0431,-20.646,1,0.912,0.0749,72.201,album
4774,"French Suite No. 4 in E-Flat Major, BWV 815: II. Courante",5h1xxVGAxQP61yByUG0fF7,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",11,98.105,0.381,0.186,-24.605,1,0.989,0.923,105.384,album
4775,"French Suite No. 6 in E Major, BWV 817: II. Courante",5leaMx632KdAwGqcY3DKXO,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",9,93.438,0.281,0.163,-23.302,1,0.992,0.928,129.007,album
4776,"French Suite No. 5 in G Major, BWV 816: VII. Gigue",5oqcENgHN6oTnJIDult7u6,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",9,201.998,0.283,0.263,-22.784,1,0.988,0.82,102.197,album
4777,"Prelude and fugue, BWV 552: Prelude E-Flat Major, BWV 552",5rsuQlkMdfD3UlytW5D4XO,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",10,493.059,0.0642,0.249,-16.186,1,0.833,0.171,68.173,album
4778,"Partita for Violin Solo No. 3 in E Major, BWV 1006: 4. Menuet I / Menuet II - Menuet I da capo",5upsUtdlsxuPQ028gWEjm9,"('Johann Sebastian Bach', 'Thomas Zehetmair')","('5aIqB5nVVvmFsvSdExz408', '3GOKMr4QNbiYzvNjjupsuW')",10,241.613,0.417,0.0585,-19.236,1,0.988,0.437,118.998,album
4779,"Matthäus-Passion, BWV 244, Pt. 2: No. 51, Erbarm es, Gott! Hier steht der Heiland angebunden",5wmZKVWutvEBMiCKtvd03I,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",9,56.36,0.437,0.276,-14.398,0,0.908,0.202,104.063,album
4780,"French Suite No. 4 in E-Flat Major, BWV 815: I. Allemande",60YLFfRgibZcvBXLddpiTC,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",11,172.665,0.365,0.0947,-29.725,0,0.993,0.526,121.858,album
4781,"Matthäus-Passion, BWV 244, Pt. 2: No. 65, Mache dich, mein Herze, rein",680xAxPV3fxeBGkYI6VVDs,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",9,372.16,0.23,0.177,-18.577,1,0.983,0.204,162.235,album
4782,"Matthäus-Passion, BWV 244, Pt. 2: No. 42, Gebt mir meinen Jesum wieder",6Eg6p4sFime7shugJ8QBDw,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",9,161.266,0.554,0.323,-16.376,1,0.943,0.663,97.169,album
4783,"French Suite No. 5 in G Major, BWV 816: V. Bourrée",6LAh3UpeQ2TimAgYJcO6Ec,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",9,82.827,0.426,0.186,-21.984,1,0.985,0.961,91.909,album
4784,"French Suite No. 6 in E Major, BWV 817: VI. Bourrée",6MXArpqkxraty3Rg6NjlAm,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",8,82.372,0.418,0.219,-22.223,1,0.987,0.92,128.74,album
4785,"Fantasia in G Minor, BWV 920",6TUCV5bHVZuqPDumxFVizF,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",9,468.985,0.257,0.115,-24.015,0,0.991,0.214,93.12,album
4786,"Matthäus-Passion, BWV 244, Pt. 2: No. 39, Erbarme dich, mein Gott, um meiner Zähren Willen",6bVBrouLWh87F2RyaPxXk1,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",11,457.573,0.142,0.14,-19.389,0,0.964,0.052,85.191,album
4787,"Matthäus-Passion, BWV 244, Pt. 2: No. 59, Ach Golgatha, unselges Golgatha",6eWPrH7zU7QAt48MTBXlNL,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",8,101.933,0.309,0.121,-19.321,1,0.974,0.0803,73.96,album
4788,"Matthäus-Passion, BWV 244, Pt. 1: No. 28, Und siehe, einer aus denen, die mit Jesu waren, reckete die Hand aus",6i8J9ndwMDdM3GKVMRFQ3B,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",11,160.733,0.326,0.125,-16.845,1,0.919,0.0749,80.827,album
4789,"French Suite No. 6 in E Major, BWV 817: VII. Gigue",6iKCJCmddiAzvFNKzOWFGm,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",8,137.278,0.297,0.189,-23.195,1,0.99,0.934,119.937,album
4790,"French Suite No. 4 in E-Flat Major, BWV 815: V. Menuet",6qYhUogXFTVVK1EHc6QTCZ,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",10,48.558,0.458,0.151,-25.212,1,0.992,0.96,129.38,album
4791,"Matthäus-Passion, BWV 244, Pt. 2: No. 58, Und da sie an die Stätte kamen mit Namen Golgatha",6r3xSZ7Jp3dq9LTdtTYwsY,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",8,234.6,0.453,0.173,-17.065,0,0.952,0.248,99.672,album
